outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address
Vanshik Medicos,WP002577,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.6966534,77.2714199,"K-2, Shop-2 Block-2, Gangotri Vihar"
Shiv shankar medicos,PH114820,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.733251,77.1908957,Shop no-02 chowk jharoda burari
SAI RAJ CHEMIST,PH109401,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6058601,77.0568419,L-49 som Bazar Raja puri
Pal Medicos,PH114242,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5828998,77.0886207,B-11Gali No 10 Raj Nagar palam
Shree Medicos,PH114822,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.582876,77.0885932,"RZP-128,Raj Nagar part 2, palam"
Shree shyam medicos,PH129467,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7289957,77.2063584,Shop no 2 kh no-40 village jharoda
Nirmal Medical Store,PH111018,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7485241,77.1911016,Gali No 15 near Khan Store Kamal
Bismillah Crown Medicos,WP002887,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.6935765,77.2833584,"B-45,Gali no.-1 Kabir Nagar Delhi"
R. S. S MEDICOS,PH097797,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4946732,77.1804956,Shop no 1 suman colony
Arihant Medicos,PH114823,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5828884,77.0886158,"RZF-756/57B,Raj Nagar part 2 palam"
Delhi Medicos,PH104235,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7307216,77.2098359,H.No 230 Surender Colony Jharoda
Shah Dept store,DS018250,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.500915,77.2839487,"D-69, vishwakarma colony, prahladpur"
New Crown Medicos,WP002967,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.6957401,77.2718723,Yamuna Vihar Road Mohan puri delhi
Pet point India Private Limited-Platinum,PS018513,Metro > ASE-SPT-NCR-North-West 2 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.666781,77.1234282,"Flat No.1242, GH-5 & 7, Paschim Vihar,"
Global Pharmacy,PH110733,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7356343,77.1974496,Main Road Sant Nagar Near by
Wisdom Pet Mart(ROA)-Silver,PS004318,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.6193247,77.0597126,"C 62, Arya Samaj Road, Uttam Nagar"
Utsav medicos,PH106526,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6501233,77.13423,6-B/3 Ramesh Nagar
B-well Medicos,PH090631,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6353939,77.0887501,C-10 shop no 10 mangla hospital
Mamta Medicos,PH104153,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6439554,77.0266534,Kh no 800 Kamal pur Burari
Krishana Medical Store,WP002578,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.6962291,77.2712709,"C-5/B,Main Gamari Road,Delhi"
Raja Departmental Store,DS012976,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.4380743,77.1993538,"Kh-no. 865, &866, Ground Floor, Village Bhati, New Delhi"
manha medicos,PH054214,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4992106,77.2508944,c-198 part of shop no.1tayyab masjid thokar no 8 Shaheen bagh
APNA BAZAR (Roshan Pura),DS001253,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.6722068,77.0676326,"S-5, new roshan pura near video Office, Gurgaon Road, Najafgarh, New Delhi-43"
Shree Shyam Ayurvedic Store,PH104152,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6439519,77.0266348,41 futa road Kamal pur Burari
Shivam medical,PH106527,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6959144,77.0813872,Shop no 16/129 padam singh
Yadav Supermarket,DS008987,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.6051969,76.9884331,"K-29, New Roushanpura, Najafgadh"
