outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Om Sai medicos,PH092753,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4997737,77.2370941,C-24/4 seva sadan near Holi chowk  0,DSR-GT-NCR-772
Arora Chemist,PH043438,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5975096,77.2949886,8 Atlantic Plaza Samachar Appartment,DSR-GT-NCR-504
Pet Zone Dog & Cat Clinic(ROA)-Silver,CL002052,Metro > ASE-SPT-NCR-North-West 2 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Clinic,[object Object],28.7141133,77.1561983,BK1/9 SHALIMAR BAGH NEAR FORTIS HOSPITAL,FSA-SPT-NCR-019
Rich Medicos,PH014632,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5341576,77.2620387,1441-A Gali No-13 Govindpuri Kalka Ji Delhi 110019,DSR-NCR-041
Kaushik Medical Store,PH108655,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7661478,77.1891757,Plot no 6 khasra no 21/1/1 gali no 33,DSR-GT-NCR-457
Only Pet Foods Shop-Silver,PS008920,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.52693667,77.15177333,152-9 Kishan Garh Vasant  Kunj New Delhi 110070,FSA-SPT-HAR-014
Gupta Medical Store,PH110253,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6187827,77.2968785,Shop No.-2 DDA Market MV  phese 2,DSR-NCR-154
Medicine.com,PH005180,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5363575,77.2424823,SHOP - NO 273  GREATER KAILASH PART-2 New Delhi,DSR-NCR-041
Lakshya pharmacy,PH114913,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4990674,77.2508142,L-1st 701/13 choudhary deep,DSR-GT-NCR-772
Jay medical,PH118099,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6958332,77.0814351,H-12 mangol puri delhi,DSR-NCR-037
BANSAL MEDICOS,PH111125,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6819414,77.1573043,Shop no 5 Bansal tower,DSR-NCR-160
JAN SEWA CHEMIST,PH109239,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6810324,77.1778041,Shop A1 H NO 367 G.F BHARAT,DSR-NCR-160
ASHU MEDICOS,PH080652,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6487149,77.1160156,"M-187,25YARD RAGHUBIR NAGAR",DSR-GT-DEL-783
KHARBANDA MEDIPOINT,PH098088,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5218734,77.1808203,889/8 main bazaar mehrauli,DSR-NCR-036
SHREE RAM MEDICAL STORE,PH130865,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7157649,77.1594157,SHOP NO 3 SAHIPUR MARKET,DSR-NCR-031
Akash Medical,WP002751,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.6241427,77.3224168,"Gazipur Dairy farm Road, Gazipur,delhi",DSR-NCR-154
Shahu medical store,PH109902,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6721995,77.0675572,"F-7/C,Mangal Bazar Road Mundka",DSR-GT-NCR-652
Singh Sagar Medical Hall,PH058456,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6467229,77.0439525,"Shop No,2, Plot No,42, Main Road , Yadav Enclave,Vikas Nagar New Delhi 110059",DSR-GT-NCR-760
DEEP MEDICOS(N) <D0017>,PH041141,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6720699,77.0676434,529/2 NAZAFGARH ROADNANGLOI DELHI-419968159798,DSR-GT-NCR-652
Optimus Healthcare,PH102401,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6472881,77.1142779,"C-, DDA Market",DSR-GT-DEL-783
WAGGING EMPIRE-Silver,PS000601,Metro > ASE-SPT-NCR-North-West 2 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.6963367,77.1793233,"Shop No-13,D.D.A Market,Ashok Vihar,Phase Iii,Delhi",FSA-SPT-NCR-019
Dell Chemist,PH125895,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6533313,77.0960999,"Rz-245, Vishnu Garden",DSR-GT-DEL-783
Krishna Medicos,PH089923,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4914303,77.2303495,L-st/1/2 asthal mandir road  0,DSR-GT-NCR-572
VIMAL MEDICOS,PH110727,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6720957,77.1657569,SHOP NO 313/4A INDERLOK,DSR-NCR-160
Gupta medicos,PH089740,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6954298,77.0820013,A-228-mangol puri near hanuman gali,DSR-NCR-037
